ID,CuratorialText,persona2_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.",,93,0,Max retries exceeded
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.",,56,0,Max retries exceeded
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.",,77,0,Max retries exceeded
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.",,77,0,Max retries exceeded
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.",,39,0,Max retries exceeded
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ",,88,0,Max retries exceeded
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.",,52,0,Max retries exceeded
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.",,52,0,Max retries exceeded
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.",,25,0,Max retries exceeded
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ",,163,0,Max retries exceeded
CT0011,"At the Art Institute, Shaw debuts his more-than 100-feet-wide, 21-panel Paradise Lost (2009–25), the artist’s most ambitious and personal project to date. This magnificent allegorical painting takes viewers on a spellbinding journey, from the nocturnal solitude of the artist’s childhood in Kashmir to the frenzied daylight of the art world and the West to finally a fragile, renewed dawn. Each panel is dense with symbolism: mythical beasts, anthropomorphic hybrids, collapsing kingdoms, and natural beauty in various states of transformation. Throughout, the work is dotted with images of the artist, sometimes as a humanoid creature with different animal heads, at another time as a monkey looking with awe at the gleaming edifices and the wealth of the West, and sometimes unambiguously in full human form seated on a bed of saffron under a blossoming cherry tree, lost deep in his thoughts",,140,0,Max retries exceeded
CT0012,"The work is not a direct retelling of Milton’s 17th-century poem Paradise Lost, but rather a reflection on the many paradises lost across a lifetime: childhood innocence, creative freedom, mental tranquility, cultural belonging. “This is not just my story,” Shaw explained. “It is the story of each of us, and the story of our times.”",,55,0,Max retries exceeded
CT0013,"While Shaw has previously shown the first chapter of Paradise Lost, this exhibition marks the first time all four chapters will be displayed, showcasing the fullest extent yet of this epic masterpiece. “This painting was made not only to document a life,” Shaw shared, “but to offer something to those who come after, to offer a space of reflection for emotional recognition and perhaps for quiet rebellion against forgetfulness. I do hope that this work invites the viewer to slow down and to look carefully and to feel without haste.”
",,90,0,Max retries exceeded
